system:index,date,mean_temp_K,total_precip_mm,.geo
19860101,1986-01-01,258.70909195505163,1.0558536277860442,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860102,1986-01-02,259.6682237031371,2.4264045289176344,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860103,1986-01-03,257.5474650665333,0.5777233281464115,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860104,1986-01-04,258.1049875991283,0.11455755194837795,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860105,1986-01-05,256.0621756312548,0.34081130468167115,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860106,1986-01-06,255.22088500302266,0.6863857321952707,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860107,1986-01-07,261.86455043229074,0.17384763304461318,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860108,1986-01-08,268.8715733476395,0.8701019394095828,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860109,1986-01-09,270.26832253114935,0.7397337748743361,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860110,1986-01-10,270.4993762246835,0.500149253461885,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860111,1986-01-11,273.6206112618145,1.5118591208194228,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860112,1986-01-12,267.40993210953445,0.12426778948158726,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860113,1986-01-13,268.59869006964954,0.04732440897774315,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860114,1986-01-14,269.6467367522677,0.0916248791667727,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860115,1986-01-15,269.35435921925335,0.16680561674819278,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860116,1986-01-16,268.8541703760173,0.41160914594310355,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860117,1986-01-17,267.5704580203523,1.5115219464533438,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860118,1986-01-18,267.28858293300806,2.2458126504919043,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860119,1986-01-19,269.44856589063266,2.8116926727559135,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860120,1986-01-20,266.1383663044812,1.7790899332559122,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860121,1986-01-21,260.0527647838237,0.5502863292370079,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860122,1986-01-22,257.6877832115218,0.2783910664213294,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860123,1986-01-23,259.62096675125133,1.6574417765882976,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860124,1986-01-24,263.38141517539214,1.524499904739994,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860125,1986-01-25,263.04011915151375,0.21761299790696642,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860126,1986-01-26,260.3618787166753,0.4222393735768791,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860127,1986-01-27,266.0936019736613,1.305140428751802,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860128,1986-01-28,264.3463570114571,3.133323824952333,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860129,1986-01-29,258.686284460677,0.34355401222131315,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860130,1986-01-30,257.5500405990475,0.6893428413637351,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860131,1986-01-31,262.90316270841095,0.6235800522246937,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860201,1986-02-01,266.5955278842917,0.4863545574383506,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860202,1986-02-02,268.66245014926096,0.6247623998902408,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860203,1986-02-03,268.85730878259614,0.532643540049109,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860204,1986-02-04,266.0883064651239,0.19045138225976022,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860205,1986-02-05,264.333543226151,0.32984553354265245,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860206,1986-02-06,262.448866092245,0.741414470257585,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860207,1986-02-07,258.8156339048451,0.24417739634832816,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860208,1986-02-08,255.39322075747546,0.10593781262323704,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860209,1986-02-09,253.85256880582492,0.0953225200903952,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860210,1986-02-10,253.96537230326203,0.29551381986053765,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860211,1986-02-11,256.0619363817619,0.44314962838096955,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860212,1986-02-12,257.6249947675196,0.40421969863978713,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860213,1986-02-13,255.50301405723957,0.38359279587804596,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860214,1986-02-14,257.9815344866543,0.5691709642040059,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860215,1986-02-15,254.32175283670003,2.291740833996411,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860216,1986-02-16,251.69969854676876,3.705360034149745,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860217,1986-02-17,249.8261170213073,1.3199487457393106,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860218,1986-02-18,246.28597016324608,0.6053839429782654,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860219,1986-02-19,245.69030001982642,0.3625122139785683,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860220,1986-02-20,247.10149419463195,0.12948210899030385,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860221,1986-02-21,253.43127092949078,0.5652191371588029,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860222,1986-02-22,254.18889738297216,0.5545752563736188,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860223,1986-02-23,256.87409551878454,1.1101486479951101,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860224,1986-02-24,264.91890600891827,2.781286727463313,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860225,1986-02-25,273.5115391082472,2.2709380897633022,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860226,1986-02-26,273.4907684625834,0.8539030519661938,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860227,1986-02-27,271.60367985733853,0.03139233476829909,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860228,1986-02-28,274.4338062415647,0.05388848661677307,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860301,1986-03-01,274.69595062085926,0.060338755988505764,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860302,1986-03-02,273.9331418191277,0.21233532194959961,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860303,1986-03-03,272.36026286643795,0.16931614372653397,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860304,1986-03-04,270.7757263655462,1.381269980237628,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860305,1986-03-05,269.865773781622,0.6350671304334919,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860306,1986-03-06,261.6446641794887,1.848678265622959,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860307,1986-03-07,262.2916210051423,1.9236634361756033,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860308,1986-03-08,265.3525260795116,4.57058153825727,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860309,1986-03-09,266.35613540802535,0.4860511052107675,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860310,1986-03-10,268.2685204671823,0.26326405705269484,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860311,1986-03-11,268.7907202261895,0.2656556048685149,"{""type"":""MultiPoint"",""coordinates"":[]}"
